epoch	loss	tversky_loss	dice_soft	dice_crossentropy	val_loss	val_tversky_loss	val_dice_soft	val_dice_crossentropy	lr
1	2.9155445098876953	2.277170181274414	0.4366360008716583	1.172547459602356	5.819127559661865	3.2268922328948975	0.19038605690002441	3.5258169174194336	0.001
2	2.2826931476593018	1.8863874673843384	0.5291032791137695	0.8622090816497803	2.987326145172119	2.3947296142578125	0.4013175666332245	1.1912788152694702	0.001
3	2.040412664413452	1.697849988937378	0.5778941512107849	0.7640199065208435	3.216038942337036	2.4917514324188232	0.3988793194293976	1.253606915473938	0.001
4	1.9889763593673706	1.659369945526123	0.5860821604728699	0.7390533685684204	1.9184342622756958	1.5188441276550293	0.6233426332473755	0.7792024612426758	0.001
5	1.7923599481582642	1.4516674280166626	0.6406118869781494	0.6939387917518616	1.681593418121338	1.4251338243484497	0.6493816375732422	0.6191047430038452	0.001
6	1.6027071475982666	1.2740294933319092	0.6868122816085815	0.6361777782440186	0.9934019446372986	0.8325545191764832	0.8171638250350952	0.3248403072357178	0.001
7	1.463162899017334	1.164243221282959	0.723118007183075	0.5695580840110779	2.5478055477142334	1.9006344079971313	0.5301461219787598	1.1952285766601562	0.001
8	1.2965149879455566	1.0369436740875244	0.7471941709518433	0.508998692035675	0.6817638278007507	0.58461594581604	0.8437782526016235	0.25960084795951843	0.001
9	1.1145278215408325	0.8995218873023987	0.7762979865074158	0.4391249120235443	0.9708460569381714	0.7730151414871216	0.806746244430542	0.3910847008228302	0.001
10	1.015565037727356	0.8197807669639587	0.7925682663917542	0.4095936715602875	0.5406227707862854	0.466747522354126	0.8833130598068237	0.19056212902069092	0.001
11	0.966535747051239	0.785892128944397	0.8017474412918091	0.380423903465271	1.7928047180175781	1.3814358711242676	0.6546410322189331	0.7567278742790222	0.001
12	0.8614522814750671	0.7143921256065369	0.8336180448532104	0.30335065722465515	0.7028536796569824	0.5804689526557922	0.8704851269721985	0.2334190309047699	0.001
13	0.874186098575592	0.7148631811141968	0.8218700885772705	0.33714979887008667	2.1592533588409424	1.6366320848464966	0.6493842601776123	0.7853928804397583	0.001
14	0.7291918396949768	0.6077051162719727	0.8404554724693298	0.28959378600120544	1.2951596975326538	1.1468108892440796	0.6590756773948669	0.5067605972290039	0.001
15	0.7708654999732971	0.6430022716522217	0.8290958404541016	0.3073277175426483	1.907916784286499	1.4518163204193115	0.6370459198951721	0.819054365158081	0.001
16	0.76581871509552	0.6316396594047546	0.8428952693939209	0.28607141971588135	1.3100091218948364	0.9849791526794434	0.7537552118301392	0.5712747573852539	0.001
17	0.7487812638282776	0.615500807762146	0.8520622849464417	0.27806466817855835	0.7461501955986023	0.6054260730743408	0.8483048677444458	0.28996074199676514	0.001
18	0.7304299473762512	0.5985922813415527	0.8504178524017334	0.2794770896434784	1.3517907857894897	0.921413242816925	0.8094099760055542	0.5241862535476685	0.001
19	0.738574743270874	0.6062732338905334	0.852971613407135	0.2701074779033661	1.5511564016342163	1.1571441888809204	0.7435845136642456	0.5975877046585083	0.001
20	0.6633962392807007	0.5558091998100281	0.8585591912269592	0.2546510696411133	2.246732473373413	1.37785804271698	0.5661745667457581	1.6356921195983887	0.001
21	0.6594767570495605	0.5466946363449097	0.8689095973968506	0.24574503302574158	0.4936104714870453	0.42153048515319824	0.8919466733932495	0.1837087720632553	0.001
22	0.6098117828369141	0.5146238207817078	0.8722817897796631	0.22105860710144043	0.9469138979911804	0.8240659832954407	0.8177814483642578	0.2895888686180115	0.001
